incident_id,attack_type,target_sector,incident_date,severity_level,reported_location,estimated_loss_usd
58,Malware,Education,2023-03-15,High,CA,3900572.86
59,DDoS,Education,2023-06-05,Medium,TX,2533875.36
60,Ransomware,Banking,2023-02-21,Low,NY,420934.07
61,Malware,Banking,2023-05-31,Low,TX,2738574.3
62,Phishing,Banking,2023-09-28,Medium,OH,1792646.7
63,Ransomware,Banking,2023-06-16,Low,TX,2691155.31
64,Phishing,Banking,2024-08-20,Medium,IL,3093976.81
65,DDoS,Education,2024-12-16,Medium,CA,1235944.16
66,Ransomware,Healthcare,2024-08-07,Low,FL,2282902.18
67,DDoS,Healthcare,2024-10-29,Critical,IL,510774.58
68,DDoS,Healthcare,2023-10-28,Low,CA,73397.01
69,Malware,Healthcare,2024-03-16,Medium,CA,481890.46
70,Ransomware,Education,2024-07-25,Medium,FL,1121033.36
71,Malware,Healthcare,2023-09-08,Low,IL,722409.24
72,Malware,Banking,2024-12-14,Low,IL,4224215.93
73,Malware,Education,2024-06-07,Critical,NY,2077017.8
74,Phishing,Government,2023-05-13,High,PA,2813994.64
75,Ransomware,Government,2023-03-03,Low,TX,2928571.17
76,Phishing,Education,2024-08-02,Critical,CA,352266.93
77,Ransomware,Government,2024-09-27,High,FL,3852637.9
78,Malware,Banking,2023-12-20,Medium,PA,2927428.25
79,Ransomware,Education,2024-08-30,High,IL,3862478.99
80,Phishing,Government,2023-07-12,Medium,CA,2184804.66
81,Phishing,Education,2024-08-17,Low,CA,3158225.63
82,Malware,Government,2024-07-04,Medium,MI,3745833.27
83,Ransomware,Retail,2023-01-29,Medium,CA,3473931.11
84,Malware,Healthcare,2024-04-19,High,NY,4912112.13
85,Phishing,Retail,2024-04-16,Low,TX,1402596.12
86,Ransomware,Government,2023-01-05,Medium,IL,323955.05
87,SQL Injection,Retail,2024-02-29,Medium,GA,2124668.14
88,DDoS,Healthcare,2024-06-21,Medium,FL,1533854.87
89,DDoS,Healthcare,2023-10-11,High,NY,2146141.9
90,Phishing,Healthcare,2024-08-04,High,CA,2224149.2
91,Phishing,Banking,2023-08-06,High,GA,3247595.21
92,Malware,Banking,2023-08-08,Low,GA,81755.15
93,Phishing,Government,2023-09-08,Low,NY,1165150.05
94,Malware,Healthcare,2023-01-04,Critical,TX,2437786.48
95,Phishing,Banking,2023-07-11,Critical,TX,4444233.46
96,Phishing,Healthcare,2024-06-17,Medium,IL,1382742.43
97,Malware,Education,2023-02-26,High,OH,1499142.96
98,Phishing,Education,2024-08-01,Medium,FL,4936556.75
99,Ransomware,Healthcare,2024-12-25,Low,PA,2320326.17
100,Ransomware,Government,2024-01-16,Low,PA,8907.61
101,Ransomware,Education,2024-08-08,Medium,NY,300189.7
102,Phishing,Retail,2024-09-04,Medium,TX,4658275.39
103,Ransomware,Banking,2023-08-05,Critical,NY,2363663.65
104,SQL Injection,Government,2023-04-12,Medium,GA,4216409.12
105,Ransomware,Banking,2023-04-02,Low,IL,4159139.19
106,DDoS,Banking,2023-06-12,Low,NY,3844313.89
107,SQL Injection,Healthcare,2023-01-02,Low,NC,3017652.12
108,Malware,Healthcare,2024-11-16,Low,IL,2791843.11
109,Ransomware,Education,2023-10-02,High,NY,2627236.58
110,Phishing,Retail,2023-10-16,High,FL,1193096.14
111,SQL Injection,Retail,2023-03-28,Medium,NY,3081372.31
112,Phishing,Healthcare,2024-11-07,Low,PA,4327798.2
113,Phishing,Government,2023-07-11,Low,NY,3821840.19
114,SQL Injection,Banking,2024-12-28,Low,NY,939465.8
115,Malware,Education,2023-11-16,High,CA,1861898.53
116,Phishing,Education,2023-08-12,Low,FL,3782012.91
117,Ransomware,Banking,2024-08-07,Low,CA,438713.19
118,SQL Injection,Retail,2024-05-11,Medium,NY,3282000.15
119,Ransomware,Government,2024-01-04,Low,NY,3577990.8
120,Ransomware,Healthcare,2023-09-10,Low,PA,4295462.25
121,Malware,Government,2024-06-03,Low,CA,1049200.08
122,Phishing,Education,2024-11-07,High,NY,1377098.06
123,Phishing,Retail,2023-12-06,High,TX,4176797.12
124,Phishing,Retail,2024-05-18,Low,MI,1403193.9
125,Ransomware,Government,2024-07-22,Medium,NY,4239848.9
126,SQL Injection,Retail,2023-06-28,Low,IL,3093553.91
127,Phishing,Healthcare,2024-11-05,Medium,CA,1248179.54
128,Phishing,Retail,2023-05-13,Low,TX,3100427.08
129,Phishing,Government,2024-03-31,Critical,TX,275488.25
130,Malware,Retail,2023-04-18,Low,GA,4576402.98
131,Malware,Retail,2023-02-06,Low,NY,4428381.44
132,DDoS,Retail,2024-11-25,Low,TX,3431548.77
133,Malware,Education,2024-10-27,Low,TX,4769720.87
134,Malware,Government,2024-04-17,Medium,IL,2787951.32
135,Ransomware,Retail,2024-01-02,Low,CA,3916152.9
136,Malware,Retail,2023-07-03,Medium,IL,4001417.24
137,DDoS,Government,2024-04-14,Medium,FL,1325584.1
138,Malware,Government,2024-06-26,Low,FL,1466849.11
139,SQL Injection,Education,2024-01-09,Critical,TX,1129063.71
140,Ransomware,Education,2024-11-23,Low,NY,4313998.35
141,Phishing,Government,2023-12-27,High,NY,3618764.73
142,Ransomware,Healthcare,2023-12-28,Low,CA,766396.23
143,Phishing,Government,2023-12-23,Low,NY,4265053.2
144,Phishing,Banking,2023-11-15,Medium,CA,3161906.44
145,DDoS,Banking,2024-04-03,High,TX,2777309.07
146,Phishing,Government,2024-08-30,Low,NY,219722.42
147,Phishing,Healthcare,2023-06-04,Low,NY,1397605.57
148,Phishing,Healthcare,2023-10-11,Low,IL,2986704.06
149,Phishing,Banking,2024-09-24,Low,NY,4783680.42
150,Malware,Government,2023-08-11,High,TX,292318.49
151,DDoS,Retail,2023-05-21,High,IL,2287397.54
152,Ransomware,Education,2023-08-19,Medium,CA,2042404.35
153,Ransomware,Healthcare,2023-08-11,High,CA,2546485.65
154,Phishing,Education,2023-07-21,Low,NC,197196.56
155,Phishing,Education,2023-12-15,Low,NC,4315040.31
156,Ransomware,Banking,2024-06-04,Low,IL,1306123.34
157,Ransomware,Government,2024-12-17,Low,CA,2303558.87
158,Phishing,Healthcare,2024-08-12,Low,MI,1094204.21
159,Ransomware,Education,2023-03-10,High,IL,4679426.75
160,Phishing,Retail,2024-08-24,Low,GA,3552406.92
161,Ransomware,Retail,2023-07-24,Medium,NY,1996908.85
162,Ransomware,Retail,2024-03-31,Low,NY,1401283.01
163,Malware,Banking,2024-08-05,High,FL,3517283.41
164,Ransomware,Retail,2024-07-10,Medium,NY,1105412.2
165,Ransomware,Retail,2024-07-11,Low,IL,1468221.93
166,Ransomware,Healthcare,2024-08-11,High,CA,4445284.03
167,Malware,Retail,2024-09-29,High,GA,2496591.13
168,Phishing,Healthcare,2024-09-20,Medium,IL,4762295.72
169,Ransomware,Banking,2024-05-08,Medium,GA,3878835.79
170,Phishing,Healthcare,2024-02-08,Medium,OH,4314556.36
171,Malware,Healthcare,2023-04-26,Low,NY,2875152.31
172,Phishing,Banking,2023-06-20,Medium,CA,339837.8
173,DDoS,Government,2023-05-23,Medium,CA,2589658.14
174,Malware,Retail,2023-12-19,High,CA,4495698.21
175,Malware,Banking,2023-10-04,Medium,TX,153950.97
176,Malware,Banking,2023-06-27,Medium,PA,548202.11
177,Ransomware,Banking,2023-12-27,High,GA,3157501.38
178,Ransomware,Government,2024-05-07,Medium,CA,2356655.07
179,DDoS,Retail,2024-11-28,Low,IL,4951067.18
180,Ransomware,Banking,2024-07-26,Low,MI,3843349.31
181,DDoS,Education,2024-06-28,High,NY,3870345.38
182,Phishing,Healthcare,2023-11-13,Medium,IL,2076646.25
183,Malware,Government,2024-03-29,Medium,FL,4985447.32
184,Phishing,Education,2023-12-03,Low,CA,2201192.75
185,Ransomware,Education,2023-10-11,Medium,TX,4836903.99
186,Ransomware,Education,2023-04-12,Medium,FL,2749492.99
187,Phishing,Banking,2023-05-12,Low,PA,3762367.58
188,Ransomware,Government,2023-09-23,Medium,TX,3328147.2
189,SQL Injection,Government,2023-06-24,Low,GA,4150446.84
190,SQL Injection,Banking,2024-04-15,Medium,CA,3297995.52
191,Phishing,Education,2024-05-28,Medium,TX,29190.39
192,Phishing,Healthcare,2023-02-10,Low,TX,210801.89
193,SQL Injection,Government,2023-01-01,Low,IL,4627647.26
194,Malware,Healthcare,2023-09-24,Low,NY,2151482.74
195,SQL Injection,Healthcare,2024-03-31,Medium,FL,3173565.86
196,Ransomware,Government,2024-01-05,Medium,CA,3064448.78
197,Ransomware,Education,2024-06-09,Medium,PA,4766376.36
198,Malware,Retail,2023-01-08,Critical,FL,3613291.16
199,Phishing,Banking,2023-09-21,Low,NY,1058021.46
200,Ransomware,Retail,2024-12-11,Low,PA,1877488.06
201,Phishing,Banking,2023-07-10,Medium,FL,3316601.93
202,SQL Injection,Government,2023-03-04,Low,MI,1205758.04
203,Malware,Banking,2024-11-20,Critical,CA,2885008.78
204,Ransomware,Banking,2023-11-25,Medium,CA,428694.26
205,Ransomware,Government,2023-06-15,Medium,NY,4693349.7
206,DDoS,Government,2023-11-13,Low,IL,1165375.63
207,Ransomware,Healthcare,2024-11-29,Low,FL,1427255.21
208,Phishing,Education,2023-12-28,Medium,CA,2258243.02
209,Phishing,Healthcare,2024-07-02,Low,CA,2319523.95
210,Phishing,Education,2023-02-25,Medium,GA,1313308.84
211,Ransomware,Education,2024-01-16,High,CA,1013481.28
212,Phishing,Education,2023-02-21,Low,FL,3619922.06
213,Phishing,Retail,2023-03-14,Low,TX,2113537.31
214,Malware,Banking,2023-05-08,High,OH,3216922.72
215,Phishing,Healthcare,2023-05-11,Low,FL,3145854.94
216,Malware,Retail,2023-02-03,High,CA,269278.49
217,Ransomware,Education,2023-04-09,Low,TX,2392905.81
218,Ransomware,Education,2024-09-26,High,FL,3122558.01
219,DDoS,Education,2024-03-17,High,TX,1638603.16
220,SQL Injection,Education,2023-05-11,High,FL,3529974.44
221,Phishing,Healthcare,2023-04-06,Low,TX,4498433.41
222,SQL Injection,Education,2023-04-14,Low,GA,1984661.19
223,Malware,Education,2024-12-19,Critical,NY,1963971.79
224,Malware,Banking,2023-01-20,Low,TX,2447205.87
225,Phishing,Retail,2023-05-26,Critical,IL,265123.69
226,Ransomware,Retail,2023-04-09,Medium,GA,1663987.29
227,Ransomware,Banking,2024-01-10,Medium,TX,957144.83
228,Ransomware,Retail,2024-10-12,High,NY,1923127.94
229,Malware,Banking,2024-08-03,Low,FL,2185971.31
230,SQL Injection,Education,2023-07-23,Low,NY,784873.05
231,Malware,Healthcare,2023-10-19,Medium,CA,359653.93
232,Ransomware,Education,2023-11-07,Low,TX,3323320.19
233,Ransomware,Education,2024-03-20,Medium,CA,2093609.92
234,Phishing,Retail,2023-01-21,Low,CA,551699.78
235,Phishing,Retail,2023-04-06,High,CA,2314355.49
236,Ransomware,Banking,2023-05-07,Critical,NY,1387270.21
237,Phishing,Government,2023-05-18,Medium,NY,463401.22
238,DDoS,Education,2023-06-18,Low,GA,902349.6
239,Phishing,Retail,2023-10-30,Critical,NY,2620862.28
240,DDoS,Healthcare,2024-06-25,Medium,MI,959578.52
241,Ransomware,Healthcare,2023-06-27,High,TX,2576996.68
242,Malware,Retail,2023-11-27,Medium,GA,1781211.76
243,Phishing,Education,2023-10-11,Medium,NY,4131864.19
244,Malware,Banking,2023-03-23,Low,NY,1568811.71
245,Phishing,Retail,2023-07-13,Low,CA,2607021.97
246,Malware,Government,2023-01-21,Medium,FL,1209953.57
247,Ransomware,Healthcare,2024-09-04,Low,CA,1626439.63
248,SQL Injection,Retail,2023-09-01,Low,TX,1999892.35
249,SQL Injection,Retail,2024-11-25,Low,CA,3251247.15
250,Malware,Healthcare,2023-05-27,High,CA,282568.35
251,Phishing,Healthcare,2023-08-08,High,NY,3527003.48
252,Phishing,Retail,2023-03-29,Low,FL,2721080.78
253,Ransomware,Government,2023-08-14,High,FL,1695948.82
254,Phishing,Retail,2023-06-19,Low,NY,3681307.85
255,Ransomware,Government,2023-11-05,Medium,TX,1332726.36
256,Malware,Retail,2024-12-24,Low,CA,498733.77
257,Phishing,Retail,2023-09-04,Medium,NY,1867289.63
258,Ransomware,Healthcare,2023-05-26,Medium,IL,394157.47
259,Ransomware,Banking,2024-12-31,Medium,TX,1130779.75
260,DDoS,Retail,2024-08-09,Low,NY,4935963.39
261,SQL Injection,Healthcare,2023-03-06,Low,IL,591958.35
262,DDoS,Retail,2023-01-07,Low,TX,2973259.81
263,Malware,Government,2023-02-15,Low,CA,3461440.91
264,SQL Injection,Education,2024-05-02,Medium,CA,2606102.41
265,Ransomware,Government,2023-06-12,Low,MI,2003498.17
266,Ransomware,Education,2024-05-11,Low,TX,2106677.99
267,Phishing,Healthcare,2023-01-13,Medium,TX,2645967.16
268,Phishing,Healthcare,2023-12-02,Medium,FL,3444377.35
269,Phishing,Healthcare,2024-01-15,Medium,IL,4918837.57
270,Ransomware,Retail,2023-10-11,Medium,FL,2574316.53
271,DDoS,Healthcare,2023-09-21,Critical,GA,2462321.39
272,Phishing,Government,2023-02-20,Critical,CA,1462886.91
273,Phishing,Retail,2023-03-09,Critical,NY,799805.48
274,Phishing,Banking,2024-09-11,Medium,GA,1663555.33
275,Malware,Healthcare,2024-11-26,High,NY,1466581.73
276,Malware,Government,2023-09-24,Critical,OH,1826267.98
277,SQL Injection,Retail,2023-01-10,Low,NY,2378963.34
278,Ransomware,Education,2024-03-30,Medium,FL,1873109.94
279,Phishing,Healthcare,2024-08-19,Low,TX,2133703.71
280,Malware,Government,2023-04-27,Medium,FL,1130657.83
281,Malware,Government,2023-07-22,High,TX,278443.81
282,Phishing,Healthcare,2024-05-28,Low,TX,4293071.16
283,Ransomware,Healthcare,2023-03-18,Low,NY,2806229.65
284,Phishing,Education,2024-07-24,Low,FL,2686920.17
285,Phishing,Government,2023-05-05,High,NY,3084700.21
286,Ransomware,Retail,2024-10-26,Low,FL,1098785.12
287,Phishing,Healthcare,2024-10-24,Medium,FL,2598003.11
288,Phishing,Healthcare,2023-10-03,High,FL,3614143.32
289,Phishing,Retail,2024-12-08,Low,NY,141190.05
290,Malware,Education,2023-10-18,Low,IL,3184618.21
291,Phishing,Government,2024-12-14,Low,PA,3701140.99
292,Phishing,Education,2024-11-22,High,NY,2226487.18
293,Phishing,Banking,2024-05-27,Medium,TX,3986943.1
294,DDoS,Banking,2023-12-06,Low,GA,3278766.68
295,Malware,Government,2023-03-24,Low,TX,3042629.07
296,DDoS,Education,2023-06-16,Low,TX,911919.96
297,SQL Injection,Banking,2023-05-02,Medium,TX,3713272.13
298,Phishing,Government,2024-05-22,Medium,CA,2106027.15
299,Phishing,Government,2023-10-22,Low,NY,537543.82
300,Malware,Retail,2023-04-06,Low,TX,794383.49
301,Malware,Retail,2023-12-18,Critical,FL,3930575.93
302,Phishing,Healthcare,2024-05-01,Medium,FL,591308.46
303,Malware,Retail,2023-03-04,Medium,FL,2331932.21
304,Malware,Education,2023-02-06,Low,GA,1850921.45
305,Malware,Banking,2024-03-01,Low,FL,2467053.23
306,Ransomware,Healthcare,2023-02-28,Medium,TX,2833633.89
307,Phishing,Healthcare,2023-06-25,Low,NY,4769798.68
308,Phishing,Education,2024-08-20,Medium,CA,903181.01
309,Ransomware,Banking,2023-07-06,Low,CA,1932404.26
310,Ransomware,Banking,2023-06-30,Medium,TX,2152641.85
311,Ransomware,Education,2023-12-07,Critical,TX,4247799.41
312,Ransomware,Retail,2023-04-02,Low,CA,168054.79
313,Malware,Retail,2024-03-06,Low,NY,111893.06
314,Phishing,Retail,2024-10-15,Low,CA,1637729.2
315,Ransomware,Government,2023-12-11,Medium,NY,1711618.88
316,DDoS,Healthcare,2024-02-25,Low,CA,4395680.74
317,DDoS,Banking,2023-05-20,Medium,TX,2823362.84
318,Phishing,Government,2024-08-18,Low,NY,623990.49
319,Ransomware,Retail,2024-03-30,Low,CA,308597.27
320,DDoS,Banking,2023-12-19,Low,GA,582328.32
321,DDoS,Government,2024-09-08,Medium,NY,4179373.95
322,Phishing,Healthcare,2024-09-14,Medium,NY,2065006.33
323,Phishing,Retail,2024-10-23,Critical,NY,4842157.53
324,Malware,Government,2023-01-23,Medium,NY,3517835.74
325,Phishing,Retail,2023-05-02,Low,IL,1344191.56
326,Phishing,Banking,2024-04-15,High,FL,4458965.85
327,SQL Injection,Retail,2023-08-03,Low,CA,3243439.27
328,Phishing,Government,2024-05-03,Medium,PA,4980099.17
329,Phishing,Healthcare,2024-06-15,High,OH,574902.23
330,SQL Injection,Banking,2023-12-30,High,NY,3942037.51
331,Malware,Banking,2024-06-05,Low,IL,4896206.99
332,Phishing,Banking,2024-12-07,Low,NY,3745195.96
333,Malware,Retail,2024-01-28,Medium,PA,3879843.73
334,DDoS,Retail,2023-10-10,Low,NY,4893582.14
335,Phishing,Education,2023-12-25,High,IL,1635022.85
336,Ransomware,Banking,2023-03-04,High,CA,1908742.38
337,Malware,Banking,2023-05-04,Medium,PA,891040.46
338,Malware,Education,2023-08-11,Medium,PA,2077694.55
339,Malware,Education,2024-11-03,High,GA,2114163.62
340,SQL Injection,Education,2024-07-08,Low,CA,2999891.34
341,Ransomware,Government,2024-04-25,Low,CA,2059018.78
342,Phishing,Healthcare,2023-01-23,Low,NY,389047.33
343,Ransomware,Retail,2023-12-23,High,NY,3276902.45
344,Phishing,Banking,2023-10-23,High,CA,166199.23
345,Ransomware,Healthcare,2023-03-28,High,IL,771904.82
346,Ransomware,Healthcare,2023-11-03,Low,CA,4823015.74
347,SQL Injection,Healthcare,2024-06-18,Low,PA,2542832.32
348,Ransomware,Retail,2024-06-11,Medium,TX,1413307.21
349,Phishing,Healthcare,2023-05-20,High,IL,13611.55
350,Malware,Banking,2023-04-27,Medium,OH,1617662.74
351,Phishing,Government,2024-09-21,Low,TX,4423004.97
352,SQL Injection,Banking,2023-04-06,Low,OH,801912.75
353,Ransomware,Retail,2024-10-04,Low,NY,1916675.27
354,Phishing,Banking,2024-05-04,Low,NY,2786436.41
355,Malware,Banking,2023-09-16,Medium,MI,2472669.37
356,SQL Injection,Retail,2024-06-14,Medium,NY,3613962.02
357,Malware,Government,2023-11-13,Medium,IL,4064738.32
358,Ransomware,Education,2023-05-12,Medium,NY,2047986.78
359,Phishing,Retail,2023-10-09,Medium,FL,1124334.18
360,DDoS,Education,2024-01-27,High,IL,2529379.98
361,Phishing,Government,2024-09-19,Critical,NY,1508539.5
362,Phishing,Healthcare,2024-12-29,Medium,CA,4146504.67
363,DDoS,Government,2024-12-13,Medium,TX,1323254.14
364,Phishing,Banking,2023-01-13,Low,FL,2478571.64
365,Ransomware,Healthcare,2023-04-27,Low,TX,483512.11
366,Malware,Retail,2024-05-05,Medium,NY,1436479.79
367,Phishing,Education,2024-12-01,High,TX,4223506.14
368,Phishing,Government,2023-08-17,High,NY,2379226.78
369,Ransomware,Government,2023-01-31,Medium,NY,2267471.96
370,Ransomware,Healthcare,2024-07-08,Critical,CA,999093.28
371,Ransomware,Government,2024-09-22,Critical,TX,1298247.23
372,Phishing,Government,2024-05-31,Low,TX,2702932.15
373,DDoS,Education,2023-01-24,Low,MI,3626953.47
374,Ransomware,Healthcare,2024-08-20,Low,CA,923144.36
375,Ransomware,Retail,2023-08-13,Medium,FL,927064.58
376,SQL Injection,Government,2023-07-06,High,TX,4591657.88
377,Malware,Education,2023-11-21,Medium,CA,668502.99
378,Phishing,Government,2024-08-25,High,CA,32348.82
379,Phishing,Government,2023-11-13,High,FL,1362889.4
380,SQL Injection,Government,2023-01-19,Low,TX,3279525.45
381,Ransomware,Education,2023-02-02,Low,GA,2539714.57
382,Malware,Education,2024-04-02,High,FL,1563895.15
383,Ransomware,Education,2023-01-31,Low,TX,961574.17
384,Malware,Government,2024-04-02,Low,NY,4882737.56
385,Ransomware,Education,2023-05-23,High,NY,3719850.34
386,SQL Injection,Education,2023-10-11,Low,CA,2036622.32
387,Phishing,Banking,2024-12-30,Low,NY,524465.42
388,Phishing,Government,2024-10-09,High,NY,3425227.76
389,Phishing,Government,2023-12-08,Medium,OH,3012808.4
390,Phishing,Banking,2023-05-03,Medium,NY,3252948.17
391,SQL Injection,Government,2024-11-30,High,IL,3769950.3
392,Phishing,Retail,2023-03-13,Medium,CA,2989070.51
393,Malware,Government,2024-12-08,High,NY,447844.2
394,Malware,Healthcare,2024-08-14,Low,NY,3489093.59
395,Phishing,Retail,2023-04-13,Critical,GA,101785.09
396,Phishing,Education,2024-12-03,Critical,TX,4885551.62
397,Phishing,Education,2024-02-28,Low,NY,4757987.5
398,Phishing,Healthcare,2023-08-11,High,TX,4115861.65
399,Phishing,Healthcare,2024-04-29,Low,CA,1246678.1
400,SQL Injection,Education,2024-04-18,Low,FL,2889346.72
401,SQL Injection,Government,2023-10-03,Low,IL,1718517.64
402,Phishing,Government,2024-06-02,High,OH,4816475.86
403,SQL Injection,Education,2024-12-13,Low,FL,4259613.44
404,Ransomware,Retail,2024-12-24,Low,FL,3600627.51
405,Ransomware,Healthcare,2023-04-18,High,FL,3955138.34
406,Ransomware,Retail,2023-01-11,Medium,OH,3711333.88
407,Malware,Healthcare,2024-07-14,Low,NC,1627291.18
408,Phishing,Healthcare,2024-05-28,Critical,NY,4467208.99
409,Phishing,Government,2023-09-10,High,NY,278004.03
410,Malware,Education,2023-01-29,Medium,OH,2820020.07
411,Phishing,Government,2023-08-03,Low,NY,1592315.43
412,DDoS,Education,2024-11-07,High,IL,3829645.78
413,Phishing,Healthcare,2023-12-07,High,PA,3113194.07
414,Ransomware,Banking,2023-01-30,Medium,CA,1959349.81
415,Phishing,Education,2024-03-11,Low,PA,4322599.82
416,Phishing,Education,2023-05-14,Low,FL,2748411.68
417,SQL Injection,Healthcare,2024-12-03,Low,CA,4266548.7
418,Phishing,Healthcare,2023-11-07,Low,CA,2579103.31
419,Ransomware,Healthcare,2023-09-01,Medium,TX,3246547.91
420,Phishing,Healthcare,2023-01-27,Medium,PA,1305939.32
421,Ransomware,Banking,2024-04-06,Low,NY,1443973.08
422,Malware,Banking,2024-07-06,Critical,NY,4895287.63
423,Ransomware,Healthcare,2023-02-01,High,OH,4962646.31
424,Phishing,Banking,2023-11-12,Low,TX,1440650.21
425,DDoS,Government,2023-03-25,High,FL,3024439.6
426,Malware,Healthcare,2023-01-04,Medium,NY,1805078.31
427,Phishing,Education,2024-09-06,Medium,CA,4942296.47
428,Ransomware,Education,2023-06-28,Low,CA,4536598.1
429,Phishing,Retail,2024-08-28,Low,TX,2592837.09
430,DDoS,Banking,2024-02-28,Low,MI,2458918.33
431,SQL Injection,Government,2024-02-26,Medium,TX,1945568.54
432,Ransomware,Government,2023-06-11,Low,PA,4393122.69
433,Phishing,Banking,2023-01-18,Low,CA,4612405.23
434,SQL Injection,Healthcare,2024-08-20,Critical,IL,1359107.65
435,Phishing,Banking,2023-12-25,High,NY,4237121.1
436,Malware,Retail,2023-10-18,High,TX,2474435.82
437,Phishing,Banking,2024-05-29,Medium,CA,3132717.88
438,Ransomware,Retail,2023-08-25,High,IL,2004717.19
439,Phishing,Healthcare,2023-10-15,High,OH,388853.36
440,Phishing,Education,2024-04-23,High,IL,831304.62
441,Phishing,Government,2024-06-25,High,CA,188434.53
442,Ransomware,Healthcare,2023-06-02,Low,OH,1904192.25
443,Malware,Healthcare,2024-07-09,Medium,CA,3567218.9
444,Phishing,Government,2023-10-02,High,PA,1280813.8
445,DDoS,Retail,2024-07-09,Medium,FL,2026197.78
446,Malware,Banking,2024-09-06,Medium,TX,4022025.24
447,Malware,Healthcare,2023-01-18,Low,IL,3974664.76
448,Phishing,Healthcare,2023-11-26,Low,TX,1927721.14
449,Ransomware,Banking,2023-11-03,Low,FL,3732326.53
450,Malware,Government,2024-09-15,Low,NY,2335117.09
451,Ransomware,Education,2023-02-16,Low,FL,1127311.14
452,Phishing,Education,2023-10-30,Medium,NY,1019475.77
453,Phishing,Healthcare,2024-01-22,Critical,GA,262943.71
454,Phishing,Banking,2024-03-29,Medium,TX,2926011.03
455,Phishing,Retail,2024-11-18,Low,TX,4837461.06
456,DDoS,Education,2023-07-02,Low,GA,267534.13
457,DDoS,Banking,2024-09-21,Medium,FL,3590149.05
458,Malware,Education,2023-10-14,Low,CA,8047.49
459,Phishing,Education,2024-11-17,Medium,FL,4948447.78
460,Phishing,Banking,2024-03-11,Low,NY,4849769.02
